GID	SYMBOL	GENENAME
338	VaccDscaff22-augustus-gene-62.24	POT family
339	VaccDscaff22-processed-gene-63.2	E3 ubiquitin-protein ligase PUB23-like
340	VaccDscaff22-augustus-gene-63.33	Belongs to the enoyl-CoA hydratase isomerase family
341	VaccDscaff22-snap-gene-63.37	Fusaric acid resistance protein family
342	VaccDscaff22-processed-gene-63.26	Belongs to the enoyl-CoA hydratase isomerase family
343	VaccDscaff22-snap-gene-64.61	Belongs to the enoyl-CoA hydratase isomerase family
344	VaccDscaff22-snap-gene-64.66	Belongs to the enoyl-CoA hydratase isomerase family
345	VaccDscaff22-snap-gene-64.59	Belongs to the enoyl-CoA hydratase isomerase family
346	VaccDscaff22-processed-gene-65.30	Agamous-like MADS-box protein AGL80
347	VaccDscaff22-snap-gene-65.53	-
348	VaccDscaff22-snap-gene-65.52	-
349	VaccDscaff22-processed-gene-65.12	Transcription factor that specifically binds AT-rich DNA sequences related to the nuclear matrix attachment regions (MARs)
350	VaccDscaff22-processed-gene-65.38	Agamous-like MADS-box protein AGL80
351	VaccDscaff22-processed-gene-65.41	Agamous-like MADS-box protein AGL80
352	VaccDscaff22-snap-gene-66.34	isoform X1
353	VaccDscaff22-processed-gene-66.1	Anaphase-promoting complex subunit 11 RING-H2 finger
354	VaccDscaff22-augustus-gene-67.34	Catalyzes xyloglucan endohydrolysis (XEH) and or endotransglycosylation (XET). Cleaves and religates xyloglucan polymers, an essential constituent of the primary cell wall, and thereby participates in cell wall construction of growing tissues
355	VaccDscaff22-snap-gene-67.43	non-specific phospholipase
356	VaccDscaff22-augustus-gene-67.37	Belongs to the iron ascorbate-dependent oxidoreductase family
357	VaccDscaff22-snap-gene-67.50	Transcription factor
358	VaccDscaff22-augustus-gene-67.36	Belongs to the iron ascorbate-dependent oxidoreductase family
359	VaccDscaff22-snap-gene-67.48	transport) protein
360	VaccDscaff22-processed-gene-68.2	Domain of unknown function (DUF4220)
361	VaccDscaff22-processed-gene-68.1	Domain of unknown function (DUF4220)
362	VaccDscaff22-augustus-gene-68.16	protein polyubiquitination
363	VaccDscaff22-processed-gene-69.3	OSJNBa0089E12.13-like protein
364	VaccDscaff22-augustus-gene-70.22	DNA-directed RNA polymerases I, II, and III
365	VaccDscaff22-processed-gene-71.4	F-box kelch-repeat protein SKIP25-like
366	VaccDscaff22-processed-gene-71.9	Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.
367	VaccDscaff22-augustus-gene-71.34	Belongs to the GST superfamily
368	VaccDscaff22-augustus-gene-71.35	Belongs to the GST superfamily
369	VaccDscaff22-snap-gene-71.49	Plant nuclear matrix protein 1 (NMP1)
370	VaccDscaff22-augustus-gene-71.36	-
371	VaccDscaff22-snap-gene-72.33	isoform X1
372	VaccDscaff22-augustus-gene-72.30	BEST Arabidopsis thaliana protein match is Protein of
373	VaccDscaff22-augustus-gene-73.34	Alpha beta-Hydrolases superfamily protein
374	VaccDscaff22-augustus-gene-73.37	Upstream activation factor subunit
375	VaccDscaff22-snap-gene-73.45	Belongs to the universal ribosomal protein uL3 family
376	VaccDscaff22-snap-gene-73.47	Belongs to the universal ribosomal protein uL3 family
377	VaccDscaff22-snap-gene-73.46	UTP--glucose-1-phosphate uridylyltransferase
378	VaccDscaff22-augustus-gene-74.19	Neprosin activation peptide
379	VaccDscaff22-processed-gene-74.5	Ubiquitin-like protein
380	VaccDscaff22-augustus-gene-74.20	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
381	VaccDscaff22-augustus-gene-75.17	BEST Arabidopsis thaliana protein match is Plant protein of
382	VaccDscaff22-augustus-gene-75.16	BEST Arabidopsis thaliana protein match is Protein of
383	VaccDscaff22-snap-gene-75.28	Plant non-specific lipid-transfer proteins transfer phospholipids as well as galactolipids across membranes. May play a role in wax or cutin deposition in the cell walls of expanding epidermal cells and certain secretory tissues
384	VaccDscaff22-augustus-gene-75.22	Beta-hexosaminidase
385	VaccDscaff22-processed-gene-76.5	VQ motif-containing protein
386	VaccDscaff22-processed-gene-76.2	EF hand family protein
387	VaccDscaff22-processed-gene-76.3	EF-hand domain pair
388	VaccDscaff22-processed-gene-76.1	-
389	VaccDscaff22-augustus-gene-76.23	Major facilitator superfamily
390	VaccDscaff22-augustus-gene-76.22	Serine threonine-protein phosphatase
391	VaccDscaff22-augustus-gene-76.24	Belongs to the plant LTP family
392	VaccDscaff22-augustus-gene-76.25	Belongs to the plant LTP family
393	VaccDscaff22-augustus-gene-77.25	homeobox-leucine zipper protein
394	VaccDscaff22-augustus-gene-77.22	Belongs to the citrate synthase family
395	VaccDscaff22-processed-gene-77.1	zinc-RING finger domain
396	VaccDscaff22-augustus-gene-77.26	N-terminal asparagine amidohydrolase
397	VaccDscaff22-snap-gene-77.38	Zinc finger CCCH domain-containing protein
398	VaccDscaff22-augustus-gene-78.20	Belongs to the iron ascorbate-dependent oxidoreductase family
399	VaccDscaff22-snap-gene-78.33	Belongs to the glycosyl hydrolase 1 family
400	VaccDscaff22-processed-gene-78.3	Belongs to the glycosyl hydrolase 1 family
401	VaccDscaff22-augustus-gene-78.26	G-type lectin S-receptor-like serine threonine-protein kinase
402	VaccDscaff22-snap-gene-79.23	Belongs to the glycosyl hydrolase 1 family
403	VaccDscaff22-snap-gene-79.22	Belongs to the glycosyl hydrolase 1 family
404	VaccDscaff22-augustus-gene-79.15	Belongs to the glycosyl hydrolase 1 family
405	VaccDscaff22-processed-gene-80.0	At1g04910-like
406	VaccDscaff22-augustus-gene-80.25	At1g04910-like
407	VaccDscaff22-augustus-gene-80.27	Belongs to the precorrin methyltransferase family
408	VaccDscaff22-augustus-gene-80.28	Belongs to the precorrin methyltransferase family
409	VaccDscaff22-augustus-gene-81.30	Thioredoxin-like protein Clot
410	VaccDscaff22-snap-gene-81.47	Chaperone protein DNAj
411	VaccDscaff22-snap-gene-81.46	synthase 1-like
412	VaccDscaff22-processed-gene-81.9	Sister chromatid cohesion 1 protein
413	VaccDscaff22-processed-gene-82.4	DNA-damage-repair toleration protein
414	VaccDscaff22-snap-gene-82.37	Thaumatin family
415	VaccDscaff22-processed-gene-82.3	Thaumatin family
416	VaccDscaff22-processed-gene-82.10	-
417	VaccDscaff22-snap-gene-82.39	mRNA-binding protein involved in proper cytoplasmic distribution of mitochondria
418	VaccDscaff22-processed-gene-82.7	transcription factor
419	VaccDscaff22-processed-gene-82.9	Zinc finger A20 and AN1 domain-containing stress-associated protein
420	VaccDscaff22-augustus-gene-83.30	-
421	VaccDscaff22-snap-gene-83.36	Telomerase reverse
422	VaccDscaff22-snap-gene-83.34	Belongs to the mitochondrial carrier (TC 2.A.29) family
423	VaccDscaff22-processed-gene-83.5	Pentatricopeptide repeat-containing protein
424	VaccDscaff22-processed-gene-83.0	Thylakoid lumenal 19 kDa protein
425	VaccDscaff22-augustus-gene-83.33	zinc finger
426	VaccDscaff22-snap-gene-83.38	zinc finger CCCH domain-containing protein
427	VaccDscaff22-processed-gene-83.24	histone methyltransferase activity (H3-K4 specific)
428	VaccDscaff22-processed-gene-84.4	Zinc finger CCCH domain-containing protein
429	VaccDscaff22-snap-gene-84.20	Zinc finger CCCH domain-containing protein
430	VaccDscaff22-processed-gene-85.11	Nuclear transcription factor Y subunit
431	VaccDscaff22-snap-gene-85.30	Folate-sensitive fragile site protein Fra10Ac1
432	VaccDscaff22-processed-gene-85.8	Belongs to the glycosyltransferase 2 family. Plant cellulose synthase subfamily
433	VaccDscaff22-snap-gene-85.33	Carotenoid 910(9'10')-cleavage dioxygenase
434	VaccDscaff22-augustus-gene-86.29	Retinal pigment epithelial membrane protein
435	VaccDscaff22-snap-gene-86.31	Carotenoid 910(9'10')-cleavage dioxygenase
436	VaccDscaff22-snap-gene-86.30	Carotenoid 910(9'10')-cleavage dioxygenase
437	VaccDscaff22-augustus-gene-87.20	Polygalacturonase
438	VaccDscaff22-snap-gene-87.32	Polyamine oxidase
439	VaccDscaff22-augustus-gene-87.26	Notchless protein homolog
440	VaccDscaff22-snap-gene-87.34	Notchless protein homolog
441	VaccDscaff22-snap-gene-87.36	alpha-N-acetylglucosaminidase-like
442	VaccDscaff22-snap-gene-87.37	Alpha-N-acetylglucosaminidase
443	VaccDscaff22-snap-gene-88.28	aminotransferase isomerizing
444	VaccDscaff22-augustus-gene-89.25	F-box WD-40 repeat-containing protein
445	VaccDscaff22-augustus-gene-89.30	Belongs to the peptidase S10 family
446	VaccDscaff22-augustus-gene-89.31	Belongs to the peptidase S10 family
447	VaccDscaff22-processed-gene-90.7	Basic region leucine zipper
448	VaccDscaff22-augustus-gene-90.32	Structure-specific endonuclease subunit
449	VaccDscaff22-processed-gene-90.6	disease resistance
450	VaccDscaff22-augustus-gene-90.31	transport) protein
451	VaccDscaff22-snap-gene-90.42	Methyltransferase-like protein 13
452	VaccDscaff22-augustus-gene-90.35	Agamous-like MADS-box protein
453	VaccDscaff22-snap-gene-90.41	disease resistance
454	VaccDscaff22-processed-gene-90.0	Protein BPS1, chloroplastic-like
455	VaccDscaff22-processed-gene-90.1	Protein BPS1, chloroplastic-like
456	VaccDscaff22-processed-gene-90.2	Protein BPS1, chloroplastic-like
457	VaccDscaff22-processed-gene-91.3	disease resistance
458	VaccDscaff22-augustus-gene-91.24	This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium
459	VaccDscaff22-processed-gene-91.5	zinc finger CCCH domain-containing protein
460	VaccDscaff22-processed-gene-91.4	Basic region leucine zipper
461	VaccDscaff22-processed-gene-91.2	disease resistance
462	VaccDscaff22-snap-gene-91.25	disease resistance
463	VaccDscaff22-snap-gene-92.36	LRR receptor-like serine threonine-protein kinase At1g07650
464	VaccDscaff22-augustus-gene-92.30	receptor-like serine threonine-protein kinase
465	VaccDscaff22-snap-gene-92.38	Glycerol-3-phosphate dehydrogenase NAD
466	VaccDscaff22-augustus-gene-93.16	-
467	VaccDscaff22-snap-gene-93.22	Ubiquitin carboxyl-terminal hydrolase
468	VaccDscaff22-augustus-gene-93.18	Cytokinin dehydrogenase
469	VaccDscaff22-augustus-gene-93.19	Protein of unknown function (DUF4005)
470	VaccDscaff22-augustus-gene-94.26	Ubiquitin carboxyl-terminal hydrolase
471	VaccDscaff22-augustus-gene-94.30	Essential protein Yae1, N terminal
472	VaccDscaff22-processed-gene-94.10	Plant calmodulin-binding domain
473	VaccDscaff22-augustus-gene-95.27	Cytosolic domain of 10TM putative phosphate transporter
474	VaccDscaff22-augustus-gene-95.33	U-box domain-containing protein
475	VaccDscaff22-augustus-gene-95.32	U3 small nucleolar ribonucleoprotein protein
476	VaccDscaff22-processed-gene-95.8	Xanthoxin
477	VaccDscaff22-processed-gene-95.11	Conserved gene of
478	VaccDscaff22-processed-gene-96.8	Belongs to the disease resistance NB-LRR family
479	VaccDscaff22-snap-gene-97.37	Annexin D4-like
480	VaccDscaff22-augustus-gene-98.34	Annexin D3-like
481	VaccDscaff22-augustus-gene-98.35	Integrator complex subunit
482	VaccDscaff22-augustus-gene-98.36	Annexin D4-like
483	VaccDscaff22-augustus-gene-98.38	Annexin D4-like
484	VaccDscaff22-augustus-gene-98.41	Annexin D3-like
485	VaccDscaff22-augustus-gene-99.28	E3 ubiquitin-protein ligase that mediates ubiquitination and subsequent proteasomal degradation of target proteins. E3 ubiquitin ligases accept ubiquitin from an E2 ubiquitin- conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates
486	VaccDscaff22-snap-gene-99.34	isoform X1
487	VaccDscaff22-snap-gene-99.39	Belongs to the eIF-2B alpha beta delta subunits family
488	VaccDscaff22-snap-gene-99.36	disease resistance
489	VaccDscaff22-augustus-gene-100.21	Flowering time control protein
490	VaccDscaff22-augustus-gene-100.22	F-Box protein
491	VaccDscaff22-augustus-gene-100.27	Protein NRT1 PTR FAMILY
492	VaccDscaff22-augustus-gene-100.26	two-component response regulator
493	VaccDscaff22-augustus-gene-100.29	nadph quinone
494	VaccDscaff22-augustus-gene-100.28	phosphatidylinositol 4-phosphate 5-kinase
495	VaccDscaff22-augustus-gene-100.25	Protein SENSITIVITY TO RED LIGHT REDUCED
496	VaccDscaff22-augustus-gene-101.34	Belongs to the peptidase A1 family
497	VaccDscaff22-augustus-gene-101.32	hydroxyproline O-arabinosyltransferase activity
498	VaccDscaff22-snap-gene-101.41	transcription factor
499	VaccDscaff22-processed-gene-101.2	U-box domain-containing protein
500	VaccDscaff22-augustus-gene-102.26	Nudix hydrolase 16
501	VaccDscaff22-augustus-gene-102.29	-
502	VaccDscaff22-augustus-gene-102.28	E3 ubiquitin-protein ligase
503	VaccDscaff22-augustus-gene-102.31	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
504	VaccDscaff22-augustus-gene-103.23	exonuclease activity
505	VaccDscaff22-augustus-gene-103.24	THO complex subunit
506	VaccDscaff22-augustus-gene-103.22	Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
507	VaccDscaff22-snap-gene-103.35	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
508	VaccDscaff22-snap-gene-103.33	Belongs to the sulfotransferase 1 family
509	VaccDscaff22-augustus-gene-104.28	transcription factor
510	VaccDscaff22-augustus-gene-104.29	Belongs to the short-chain dehydrogenases reductases (SDR) family
511	VaccDscaff22-augustus-gene-104.25	choline kinase
512	VaccDscaff22-snap-gene-104.32	breast cancer carboxy-terminal domain
513	VaccDscaff22-snap-gene-104.30	Pentatricopeptide repeat-containing protein
514	VaccDscaff22-processed-gene-104.0	Pentatricopeptide repeat-containing protein
515	VaccDscaff22-processed-gene-105.2	belongs to the NAD synthetase family
516	VaccDscaff22-augustus-gene-105.17	belongs to the NAD synthetase family
517	VaccDscaff22-snap-gene-105.27	Alpha-trehalose glucohydrolase
518	VaccDscaff22-augustus-gene-105.22	Belongs to the heat shock protein 70 family
519	VaccDscaff22-augustus-gene-106.22	Tetratricopeptide repeat
520	VaccDscaff22-augustus-gene-106.21	Beta-amylase
521	VaccDscaff22-snap-gene-106.30	Bidirectional sugar transporter
522	VaccDscaff22-augustus-gene-106.24	Bidirectional sugar transporter
523	VaccDscaff22-augustus-gene-106.25	protein Brevis radix-like
524	VaccDscaff22-augustus-gene-107.21	Ring-H2 zinc finger protein
525	VaccDscaff22-snap-gene-107.34	Belongs to the glycosyltransferase 2 family
526	VaccDscaff22-augustus-gene-107.23	Protein NLP7-like isoform X1
527	VaccDscaff22-augustus-gene-107.25	26S proteasome non-ATPase regulatory subunit
528	VaccDscaff22-augustus-gene-108.30	DCD
529	VaccDscaff22-processed-gene-108.29	GDSL esterase lipase
530	VaccDscaff22-augustus-gene-108.31	Belongs to the glycosyltransferase 2 family
531	VaccDscaff22-augustus-gene-108.33	Belongs to the glycosyltransferase 2 family
532	VaccDscaff22-augustus-gene-108.34	F-box protein
533	VaccDscaff22-processed-gene-108.22	Domain of unknown function (DUF2828)
534	VaccDscaff22-processed-gene-108.23	Late embryogenesis abundant protein
535	VaccDscaff22-snap-gene-109.19	transcription factor
536	VaccDscaff22-augustus-gene-109.13	WRKY transcription factor
537	VaccDscaff22-augustus-gene-109.17	Belongs to the WD repeat SEC13 family
538	VaccDscaff22-snap-gene-109.27	High mobility group B protein
539	VaccDscaff22-augustus-gene-109.15	GDSL esterase lipase
540	VaccDscaff22-snap-gene-110.36	Protein of unknown function (DUF1221)
541	VaccDscaff22-augustus-gene-110.28	Belongs to the mitochondrial carrier (TC 2.A.29) family
542	VaccDscaff22-augustus-gene-110.32	KIP1-like protein
543	VaccDscaff22-augustus-gene-110.31	Probable zinc-ribbon domain
544	VaccDscaff22-augustus-gene-110.30	PMR5 N terminal Domain
545	VaccDscaff22-processed-gene-110.9	26S proteasome non-ATPase regulatory subunit
546	VaccDscaff22-processed-gene-111.3	) antiporter
547	VaccDscaff22-augustus-gene-111.27	cation H( ) antiporter
548	VaccDscaff22-augustus-gene-112.17	Dirigent proteins impart stereoselectivity on the phenoxy radical-coupling reaction, yielding optically active lignans from two molecules of coniferyl alcohol in the biosynthesis of lignans, flavonolignans, and alkaloids and thus plays a central role in plant secondary metabolism
549	VaccDscaff22-processed-gene-112.13	Dirigent proteins impart stereoselectivity on the phenoxy radical-coupling reaction, yielding optically active lignans from two molecules of coniferyl alcohol in the biosynthesis of lignans, flavonolignans, and alkaloids and thus plays a central role in plant secondary metabolism
550	VaccDscaff22-augustus-gene-113.30	CAAX amino terminal protease family protein
551	VaccDscaff22-snap-gene-113.42	isoform X1
552	VaccDscaff22-augustus-gene-113.29	Calcium-dependent protein kinase
553	VaccDscaff22-snap-gene-113.43	ATP-dependent DNA helicase 2 subunit
554	VaccDscaff22-augustus-gene-113.38	ribosomal protein
555	VaccDscaff22-augustus-gene-113.37	Cellulase (glycosyl hydrolase family 5)
556	VaccDscaff22-augustus-gene-113.35	LURP-one-related
557	VaccDscaff22-processed-gene-113.5	Pentatricopeptide repeat-containing protein
558	VaccDscaff22-augustus-gene-114.24	Monodehydroascorbate reductase
559	VaccDscaff22-augustus-gene-115.29	Glycosyltransferase-like protein
560	VaccDscaff22-snap-gene-115.31	transcription factor
561	VaccDscaff22-augustus-gene-115.27	mitogen-activated protein kinase
562	VaccDscaff22-augustus-gene-115.30	Heat shock protein
563	VaccDscaff22-processed-gene-115.9	-
564	VaccDscaff22-snap-gene-116.24	CCT motif
565	VaccDscaff22-augustus-gene-116.22	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
566	VaccDscaff22-processed-gene-116.2	E3 ubiquitin-protein ligase
